,5
0,가마솥추어탕
1,경호강메기탕
2,송림정흑염소구이
3,박영수손짜장
4,소반(팔용동)
5,임진각식당(팔용동)
6,장독옛날손짜장
7,전원아구찜
8,전통순대촌
9,푸주옥(창원)
10,비비돈까스
11,만다린
12,원조꽃게탕
13,하늘정원
14,우람한우마을(상남동)
15,경복궁창원점
16,함흥집
17,노렌스시
18,북경성
19,강변횟집
20,거창가든
21,동방횟집
22,동심
23,회초랑
24,망경횟집
25,송화한정식
26,우가촌
27,수정식당
28,향토집
29,용화찜
30,민물고기식당
31,파피쉪
32,백프로갈비
33,다미정숯불갈비
34,썬바다횟집
35,지중해
36,용화횟집
37,수원왕갈비
38,고현장어
39,경원궁&미나미
40,신풍식육식당
41,진짜순대집
42,통일냉면
43,늘봄가든(고성)
44,바닷가에햇살한스푼
45,새로운통일냉면
46,우성갈비
47,정든집
48,남해암소한마당
49,남해 사랑채
50,쌈촌구이&샤브
51,바우석쇠
52,농월초계탕
53,애우전문점 거창축협한우팰리스
54,대식한우명가
55,당신이있어좋은세상
